Name,Course_title,Course_name,Session,Class_Number,Career,Units,Grading,Description,Enrollment_Requirements,Add_Consent,Instructor,Meets,Dates,Room,Instruction_Mode,Campus,Location,Components,Status
Section: E-LEC (21800)  Topic: COMPUTING FOR SUE Session: Regular Academic Session Days/Times: Mo 6:00pm - 9:40pm Dates: 01/27/2020 - 05/11/2020 Instructor: Avigail Vantu Status: Closed,URB-UY 3834 - E,Special Topics in Sustainable Urban Environments,Regular Academic Session,21800,Undergraduate,4 units,Ugrd Tandon Graded,COMPUTING FOR SUE,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,Avigail Vantu,Mo 6:00PM - 9:40PM,01/27/2020 - 05/11/2020,"Rogers Hall, Rm 605 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: BLND-PRO (17189)  Session: Regular Academic Session Days/Times: Th 11:00am - 1:40pm TBA Dates: 01/27/2020 - 05/11/2020 01/27/2020 - 05/11/2020 Instructor: David Holzman Status: Open,URB-UY 4024 - BLND,Capstone Project,Regular Academic Session,17189,Undergraduate,4 units,Ugrd Tandon Graded,"The capstone is a research project that presents SUE students with an opportunity to translate previous coursework into an applied research effort.  This is a real-world based course in which students work in teams to identify, research, and propose solutions to a multidisciplinary urban issue, supervised by an SUE faculty member in weekly class discussions.  The field research should be supported by library research and culminates in a written and oral report.  | Prerequisites: Senior Status, permission of SUE faculty advisor.  Note: Does not satisfy a humanities and social sciences elective.",Department Consent Required,,David Holzman,Th 11:00AM - 1:40PM,01/27/2020 - 05/11/2021,"Rogers Hall, Rm 207 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Blended (Online & In-Person),Open
Section: F-LEC (23688)  Topic: Democracy and the City Session: Regular Academic Session Days/Times: We 3:20pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Victoria Alsina Burgues Status: Closed This is a combined section class,URB-UY 3834 - F,Special Topics in Sustainable Urban Environments,Regular Academic Session,23688,Undergraduate,4 units,Ugrd Tandon Graded,Democracy and the City,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,Victoria Alsina Burgues,We 3:20PM - 5:50PM,01/27/2020 - 05/11/2022,"Rogers Hall, Rm 205 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: B-LEC (17350)  Topic: ENVIRONMENTAL JUSTICE Session: Regular Academic Session Days/Times: TuTh 2:00pm - 3:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Judd Schechtman Status: Open,URB-UY 3834 - B,Special Topics in Sustainable Urban Environments,Regular Academic Session,17350,Undergraduate,4 units,Ugrd Tandon Graded,ENVIRONMENTAL JUSTICE,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,Judd Schechtman,TuTh 2:00PM - 3:50PM,01/27/2020 - 05/11/2023,2 MetroTechCr Rm 845 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: B-LEC (17351)  Topic: URBAN WATERFRONT DEVELOPMENT Session: Regular Academic Session Days/Times: We 6:00pm - 9:40pm Dates: 01/27/2020 - 05/11/2020 Instructor: Susan Gladstone Status: Open,URB-UY 3834W - B,Special Topics in Sustainable Urban Environments,Regular Academic Session,17351,Undergraduate,4 units,Ugrd Tandon Graded,URBAN WATERFRONT DEVELOPMENT,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,Susan Gladstone,We 6:00PM - 9:40PM,01/27/2020 - 05/11/2024,2 MetroTechCr Rm 845 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: BLND-LEC (17057)  Topic: DEMOCRATIC COLLABORATION AND URBAN SUSTAINABILTY Session: Regular Academic Session Days/Times: Th 6:00pm - 8:40pm TBA Dates: 01/27/2020 - 05/11/2020 01/27/2020 - 05/11/2020 Instructor: David W Woods Status: Closed,URB-UY 3834W - BLND,Special Topics in Sustainable Urban Environments,Regular Academic Session,17057,Undergraduate,4 units,Ugrd Tandon Graded,DEMOCRATIC COLLABORATION AND URBAN SUSTAINABILTY,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,David W Woods,Th 6:00PM - 8:40PM,01/27/2020 - 05/11/2025,"Rogers Hall, Rm 317 Loc: Brooklyn Campus",In-Person,Washington Square,Brooklyn Campus,Blended (Online & In-Person),Closed
Section: INET-LEC (22181)  Topic: Value of Urban Design Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Mariela Alfonzo Status: Closed,URB-UY 3834W - INET,Special Topics in Sustainable Urban Environments,Regular Academic Session,22181,Undergraduate,4 units,Ugrd Tandon Graded,Value of Urban Design,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,Mariela Alfonzo,TBA,01/27/2020 - 05/11/2026,On-Line Loc: ePoly,Online,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: A-FLD (16951)  Session: Regular Academic Session Days/Times: Fr 2:00pm - 3:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Beth L Rosenberg Status: Open This is a combined section class,URB-UY 4034 - A,Internship,Regular Academic Session,16951,Undergraduate,4 units,Ugrd Tandon Graded,"Students may undertake an internship for academic credit with an appropriate private, public, or non-profit agency or firm. The internship is an opportunity to extend learning outside of the classroom into a real world setting, and to explore career options tied to the major.  Students complete 140 hours at the internship site and attend occasional class meetings.  The course involves completing a learning contract, regular reflections, assignments, and a final presentation. | Prerequisite: IDM/SUE/STS majors only.  Permission of instructor required.",,,Beth L Rosenberg,Fr 2:00PM - 3:50PM,01/27/2020 - 05/11/2027,TBA,In-Person,Washington Square,Brooklyn Campus,Field Instruction/Field Superv Required,Open
Section: C-LEC (20126)  Topic: GLOBAL SUSTAINABLE CITIES Session: Regular Academic Session Days/Times: MoWe 10:30am - 12:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Manohar Patole Status: Closed,URB-UY 3834W - C,Special Topics in Sustainable Urban Environments,Regular Academic Session,20126,Undergraduate,4 units,Ugrd Tandon Graded,GLOBAL SUSTAINABLE CITIES,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,Manohar Patole,MoWe 10:30AM - 12:20PM,01/27/2020 - 05/11/2028,2 MetroTechCtr Rm 817 Loc: Brooklyn Campus,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: BLND-LEC (17082)  Topic: GREEN ROOFS: DESIGN & USE Session: Regular Academic Session Days/Times: We 2:00pm - 4:40pm TBA Dates: 01/27/2020 - 05/11/2020 01/27/2020 - 05/11/2020 Instructor: David Holzman Status: Closed,URB-UY 3834 - BLND,Special Topics in Sustainable Urban Environments,Regular Academic Session,17082,Undergraduate,4 units,Ugrd Tandon Graded,GREEN ROOFS: DESIGN & USE,"Special topics in Sustainable Urban Environments at the 3000 level, to be decided by instructor. | Prerequisites: Completion of first year writing requirements. Notes: Satisfies a HuSS Elective.",,David Holzman,We 2:00PM - 4:40PM,01/27/2020 - 05/11/2029,"2 MetroTechCtr, Rm 816 Loc: Brooklyn Campus",Online,Washington Square,Brooklyn Campus,Blended (Online & In-Person),Closed
